l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,GG6,GH02,indoor PAR light,Night,0,0,0,0,135.25,270.5,270.5,270.5
2025-07-22,GG6,GH02,indoor daily light integral,Day,0.07,1.42,7.86,15.39,15.44,23.72,27.58,28.12
2025-07-22,GG6,GH02,indoor daily light integral,Night,0,0,0,0,9.45,28.36,28.36,28.36
2025-07-22,GG6,GH02,light operation,Night,0,0,0,0,25,50,50,50
2025-07-22,GG6,GH02,light operation,Day,0,0,0,0,50,100,100,100
2025-07-22,GG6,GH02,nutrient EC,Night,1.29,1.29,1.29,1.31,1.32,1.34,1.38,1.38
2025-07-22,GG6,GH02,nutrient EC,Day,0.94,1.21,1.23,1.25,1.26,1.29,1.38,1.39
2025-07-22,GG6,GH02,outdoor daily light integral,Night,0,0,0.01,0.02,22.97,45.93,45.94,45.94
2025-07-22,GG6,GH02,outdoor daily light integral,Day,0.02,0.02,1.19,16.5,19.73,36.66,45.49,45.86
2025-07-22,GG6,GH02,temperature,Day,26.45,31.48,32.55,34.3,33.79,35.13,35.75,36.45
2025-07-22,GG6,GH02,temperature,Night,25.98,26.13,26.55,29.52,28.69,30.24,30.79,32.87
2025-07-22,GG6,GH02,vapor pressure deficit,Day,1.06,1.51,1.79,2.09,2.08,2.35,2.55,2.7
2025-07-22,GG6,GH02,vapor pressure deficit,Night,0.54,0.55,0.65,0.74,0.9,1.11,1.29,1.62
2025-07-22,GG6,GH02,vent required,Night,84.56,84.56,88.56,91.47,90.8,93.75,95.13,95.13
2025-07-22,GG6,GH02,vent required,Day,87.81,87.81,87.81,87.81,92.44,97.06,97.06,97.06
2025-07-22,GG6,GH03,CO2 sensor,Night,397,399,404,423,420.81,433,451,454
2025-07-22,GG6,GH03,CO2 sensor,Day,453.5,453.5,458,461,461.78,465.5,470,470
2025-07-22,GG6,GH03,cooling target,Night,22.78,22.78,22.78,22.78,24.41,26.05,26.05,26.05
2025-07-22,GG6,GH03,cooling target,Day,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.16
2025-07-22,GG6,GH03,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH03,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH03,growing degree units canola,Night,40.2,40.3,40.7,41,43.57,46.4,49.3,49.5
2025-07-22,GG6,GH03,growing degree units canola,Day,41.3,41.3,43.2,43.45,43.5,43.95,45.1,45.1
2025-07-22,GG6,GH03,growing degree units corn/soy,Day,32.3,32.3,32.3,32.3,32.7,33.1,33.1,33.1
2025-07-22,GG6,GH03,growing degree units corn/soy,Night,31.2,31.2,31.5,31.75,31.71,32,32.1,32.1
2025-07-22,GG6,GH03,growing degree units cotton,Day,22.3,22.3,24.1,24.4,24.48,24.95,26.1,26.1
2025-07-22,GG6,GH03,growing degree units cotton,Night,21.2,21.2,21.6,21.9,23.37,26.6,27.6,27.6
2025-07-22,GG6,GH03,growing degree units wheat,Night,49.2,49.2,49.5,49.75,49.71,50,50.1,50.1
2025-07-22,GG6,GH03,growing degree units wheat,Day,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5
2025-07-22,GG6,GH03,heating required,Night,4.87,4.87,4.87,4.87,7.44,10,10,10
2025-07-22,GG6,GH03,heating required,Day,2.41,2.41,2.41,2.41,5.05,7.7,7.7,7.7
2025-07-22,GG6,GH03,heating target,Day,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
2025-07-22,GG6,GH03,heating target,Night,21.11,21.11,21.11,21.11,22.74,24.38,24.38,24.38
2025-07-22,GG6,GH03,humidity,Day,61.65,61.65,64.85,66.55,66.75,67.2,75.6,75.6
2025-07-22,GG6,GH03,humidity,Night,48.8,54.5,60.5,66.8,68.23,75.85,81.9,83.05
2025-07-22,GG6,GH03,humidity target,Night,40,40,40,40,40,40,40,40
2025-07-22,GG6,GH03,indoor PAR light,Night,50,161,267,338,506.64,780,1120,1296
2025-07-22,GG6,GH03,indoor PAR light,Day,387,387,420,426,438.26,448,510,510
2025-07-22,GG6,GH03,indoor daily light integral,Night,0,6.02,10.76,16.7,15.94,22.5,24.47,25
2025-07-22,GG6,GH03,indoor daily light integral,Day,0.03,0.03,1.26,2.56,2.78,4.25,5.74,5.74
2025-07-22,GG6,GH03,light operation,Night,0,0,0,0,37.5,50,100,100
2025-07-22,GG6,GH03,nutrient EC,Day,1.71,1.71,1.71,1.71,1.71,1.72,1.72,1.72
2025-07-22,GG6,GH03,nutrient EC,Night,1.68,1.68,1.69,1.7,1.7,1.71,1.72,1.72
2025-07-22,GG6,GH03,outdoor daily light integral,Day,0.02,0.02,0.02,0.03,0.22,0.18,1.2,1.2
2025-07-22,GG6,GH03,outdoor daily light integral,Night,0,0,3.5,27.25,24.94,45.24,45.92,45.93
2025-07-22,GG6,GH03,temperature,Night,26.83,27.15,30.58,33.83,32.95,35.44,36.93,37.93
2025-07-22,GG6,GH03,temperature,Day,27.2,27.2,31.14,31.37,31.22,31.74,33.37,33.37
2025-07-22,GG6,GH03,vapor pressure deficit,Night,0.59,0.63,1.02,1.75,1.66,2.24,2.72,3.4
2025-07-22,GG6,GH03,vapor pressure deficit,Day,1,1,1.47,1.52,1.55,1.61,1.96,1.96
2025-07-22,GG6,GH03,vent required,Night,93.7,93.7,96.1,98.07,97.95,99.99,100,100
2025-07-22,GG6,GH03,vent required,Day,78.93,78.93,80.56,82.73,85.93,91.99,97.96,97.96
2025-07-22,GG6,GH04,CO2 sensor,Night,447,450,464,477,483.51,508,523,527.5
2025-07-22,GG6,GH04,CO2 sensor,Day,491,491,506,512,510.94,516.5,521,521
2025-07-22,GG6,GH04,cooling target,Day,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.16
2025-07-22,GG6,GH04,cooling target,Night,22.78,22.78,22.78,22.78,24.41,26.05,26.05,26.05
2025-07-22,GG6,GH04,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH04,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH04,growing degree units canola,Day,38.1,38.1,39.2,39.6,39.89,41,41.9,41.9
2025-07-22,GG6,GH04,growing degree units canola,Night,37.9,38,38.5,43.35,43.4,48,50.6,50.9
2025-07-22,GG6,GH04,growing degree units corn/soy,Day,29.1,29.1,30.2,30.5,30.5,30.9,31.8,31.8
2025-07-22,GG6,GH04,growing degree units corn/soy,Night,28.9,28.9,29.25,29.5,29.45,29.7,29.8,29.8
2025-07-22,GG6,GH04,growing degree units cotton,Night,18.9,19,19.4,19.6,21.26,23.95,26.1,26.5
2025-07-22,GG6,GH04,growing degree units cotton,Day,19.1,19.1,20.2,20.6,20.88,21.9,22.9,22.9
2025-07-22,GG6,GH04,growing degree units wheat,Night,46.9,46.9,47.25,47.5,47.45,47.7,47.8,47.8
2025-07-22,GG6,GH04,growing degree units wheat,Day,47.1,47.1,47.7,48.2,47.97,48.4,48.45,48.45
2025-07-22,GG6,GH04,heating required,Night,0.6,0.6,0.6,6,5.53,10,10,10
2025-07-22,GG6,GH04,heating required,Day,3.74,3.74,3.74,7.69,9.53,10.39,16.31,16.31
2025-07-22,GG6,GH04,heating target,Day,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
2025-07-22,GG6,GH04,heating target,Night,21.11,21.11,21.11,21.11,22.74,24.38,24.38,24.38
2025-07-22,GG6,GH04,humidity,Night,36.2,39.15,52.5,63.8,63.87,75.95,81.6,83.3
2025-07-22,GG6,GH04,humidity,Day,64.7,64.7,70.35,74.05,74.13,76.7,82.55,82.55
2025-07-22,GG6,GH04,humidity target,Night,40,40,40,40,40,40,40,40
2025-07-22,GG6,GH04,indoor PAR light,Day,147.5,147.5,175,181,184.4,197,221.5,221.5
2025-07-22,GG6,GH04,indoor PAR light,Night,80,154,255.5,318,504.82,767,1131,1293
2025-07-22,GG6,GH04,indoor daily light integral,Night,0,0.5,3.99,10.37,9.86,16.41,17.89,18
2025-07-22,GG6,GH04,indoor daily light integral,Day,0.02,0.02,0.08,0.16,0.17,0.25,0.36,0.36
2025-07-22,GG6,GH04,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,GG6,GH04,nutrient EC,Day,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33
2025-07-22,GG6,GH04,nutrient EC,Night,0.3,0.31,0.32,0.32,0.32,0.32,0.33,0.33
2025-07-22,GG6,GH04,outdoor daily light integral,Night,0,0,3.48,27.25,24.92,45.23,45.92,45.93
2025-07-22,GG6,GH04,outdoor daily light integral,Day,0.02,0.02,0.02,0.03,0.21,0.18,1.19,1.19
2025-07-22,GG6,GH04,temperature,Day,25.59,25.59,26.27,28.19,28.01,28.77,30.94,30.94
2025-07-22,GG6,GH04,temperature,Night,25.56,25.91,29.23,31.77,32.55,36.15,40.04,40.91
2025-07-22,GG6,GH04,vapor pressure deficit,Day,0.57,0.57,0.86,0.99,1.05,1.2,1.77,1.77
2025-07-22,GG6,GH04,vapor pressure deficit,Night,0.55,0.59,0.95,1.73,1.99,2.85,4.5,4.95
2025-07-22,GG6,GH04,vent required,Day,4.63,4.63,9.97,43.22,43.74,74.89,88.16,88.16
2025-07-22,GG6,GH04,vent required,Night,53.83,65.59,81.39,93.09,89,98.66,100,100
2025-07-22,GG6,GH05,CO2 sensor,Day,504,504,507,509,510.72,513,519,519
2025-07-22,GG6,GH05,CO2 sensor,Night,450,454,459,472,474.35,486,503,508.5
2025-07-22,GG6,GH05,cooling target,Day,26.37,26.37,26.37,26.37,26.37,26.37,26.37,26.37
2025-07-22,GG6,GH05,cooling target,Night,24.67,24.67,24.67,24.67,25.48,26.3,26.3,26.3
2025-07-22,GG6,GH05,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH05,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH05,growing degree units canola,Night,37.7,37.75,38.2,38.55,40.75,43.7,45.7,46.15
2025-07-22,GG6,GH05,growing degree units canola,Day,38.4,38.4,39.6,40,40.02,40.5,41.45,41.45
2025-07-22,GG6,GH05,growing degree units corn/soy,Day,29.4,29.4,30.6,30.95,30.89,31.2,31.8,31.8
2025-07-22,GG6,GH05,growing degree units corn/soy,Night,28.7,28.7,28.95,29.3,29.2,29.5,29.6,29.6
2025-07-22,GG6,GH05,growing degree units cotton,Night,18.7,18.7,19.2,19.5,21.25,23.9,25.9,26.2
2025-07-22,GG6,GH05,growing degree units cotton,Day,19.4,19.4,20.6,21,21.01,21.5,22.45,22.45
2025-07-22,GG6,GH05,growing degree units wheat,Day,47.4,47.4,47.4,47.4,47.8,48.2,48.2,48.2
2025-07-22,GG6,GH05,growing degree units wheat,Night,46.7,46.7,46.95,47.3,47.2,47.5,47.6,47.6
2025-07-22,GG6,GH05,heating required,Night,3.06,3.06,3.06,8.66,7.24,10,10,10
2025-07-22,GG6,GH05,heating required,Day,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
2025-07-22,GG6,GH05,heating target,Night,23,23,23,23,23.81,24.63,24.63,24.63
2025-07-22,GG6,GH05,heating target,Day,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
2025-07-22,GG6,GH05,humidity,Night,53.9,57.4,63.2,68.1,69.97,76.6,83.15,84.45
2025-07-22,GG6,GH05,humidity,Day,67,67,70.05,71.5,71.67,72.15,79.2,79.2
2025-07-22,GG6,GH05,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,GG6,GH05,indoor PAR light,Day,453,453,503,508,517.47,527,592,592
2025-07-22,GG6,GH05,indoor PAR light,Night,0,185,248,369,492.92,619,1088,1253
2025-07-22,GG6,GH05,indoor daily light integral,Day,0.03,0.03,1.71,3.46,3.51,5.27,7.27,7.27
2025-07-22,GG6,GH05,indoor daily light integral,Night,0,7.63,11.88,18.5,18.12,25.09,28.81,29.49
2025-07-22,GG6,GH05,light operation,Night,0,0,0,50,40,50,100,100
2025-07-22,GG6,GH05,nutrient EC,Day,1.13,1.13,1.15,1.15,1.16,1.16,1.21,1.21
2025-07-22,GG6,GH05,nutrient EC,Night,1.13,1.13,1.18,1.4,1.31,1.42,1.43,1.44
2025-07-22,GG6,GH05,outdoor daily light integral,Day,0.02,0.02,0.02,0.03,0.21,0.18,1.19,1.19
2025-07-22,GG6,GH05,outdoor daily light integral,Night,0,0,3.48,27.25,24.92,45.23,45.92,45.93
2025-07-22,GG6,GH05,temperature,Night,25.41,25.73,29.4,32.45,31.23,33.42,34.58,35.33
2025-07-22,GG6,GH05,temperature,Day,25.56,25.56,28.65,28.9,28.79,29.27,30.77,30.77
2025-07-22,GG6,GH05,vapor pressure deficit,Day,0.76,0.76,1.07,1.12,1.14,1.19,1.46,1.46
2025-07-22,GG6,GH05,vapor pressure deficit,Night,0.5,0.53,0.92,1.47,1.41,1.85,2.2,2.58
2025-07-22,GG6,GH05,vent required,Day,79.87,79.87,81.36,83.77,87.15,91.09,99.66,99.66
2025-07-22,GG6,GH05,vent required,Night,80,80,80.08,81.41,83.87,84.38,98.57,98.57
2025-07-22,GG6,GH06,CO2 sensor,Day,515,515,519,521,521.22,524,526,526
2025-07-22,GG6,GH06,CO2 sensor,Night,457,458,464.5,477,478.15,488.5,508,518
2025-07-22,GG6,GH06,cooling target,Day,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.16
2025-07-22,GG6,GH06,cooling target,Night,22.78,22.78,22.78,22.78,24.41,26.05,26.05,26.05
2025-07-22,GG6,GH06,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH06,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH06,growing degree units canola,Day,38.15,38.15,39.7,40.6,40.3,40.9,41.2,41.2
2025-07-22,GG6,GH06,growing degree units canola,Night,37.9,37.95,38.55,41.4,41.75,45.1,46.8,47.3
2025-07-22,GG6,GH06,growing degree units corn/soy,Day,29.15,29.15,30.7,31.6,31.22,31.9,32,32
2025-07-22,GG6,GH06,growing degree units corn/soy,Night,28.9,28.9,29.1,29.55,29.44,29.8,29.8,29.8
2025-07-22,GG6,GH06,growing degree units cotton,Day,19.15,19.15,20.7,21.6,21.3,21.9,22.2,22.2
2025-07-22,GG6,GH06,growing degree units cotton,Night,18.9,18.95,19.4,19.8,21.52,24.1,26.1,26.5
2025-07-22,GG6,GH06,growing degree units wheat,Day,47.15,47.15,47.15,47.8,47.78,48.4,48.4,48.4
2025-07-22,GG6,GH06,growing degree units wheat,Night,46.9,46.9,47.1,47.55,47.44,47.8,47.8,47.8
2025-07-22,GG6,GH06,heating required,Day,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89
2025-07-22,GG6,GH06,heating required,Night,1.03,1.03,1.88,3.26,4.46,7.29,10,10
2025-07-22,GG6,GH06,heating target,Day,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
2025-07-22,GG6,GH06,heating target,Night,21.11,21.11,21.11,21.11,22.74,24.38,24.38,24.38
2025-07-22,GG6,GH06,humidity,Day,68,68,68.55,69.6,71.48,73.75,78.5,78.5
2025-07-22,GG6,GH06,humidity,Night,51.05,53.05,57.7,66.4,66.29,74.1,78.2,78.6
2025-07-22,GG6,GH06,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,GG6,GH06,indoor PAR light,Night,0,118,201,674,660.88,887,1474,1519
2025-07-22,GG6,GH06,indoor PAR light,Day,235,235,461,466,464.25,495,575,575
2025-07-22,GG6,GH06,indoor daily light integral,Day,0.02,0.02,1,2.64,2.92,4.35,6.24,6.24
2025-07-22,GG6,GH06,indoor daily light integral,Night,0,6.77,15,23.48,22.72,33.17,35.4,35.56
2025-07-22,GG6,GH06,light operation,Night,0,0,0,0,16.67,50,50,50
2025-07-22,GG6,GH06,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,GG6,GH06,nutrient EC,Day,1.76,1.76,1.76,1.77,1.77,1.77,1.81,1.81
2025-07-22,GG6,GH06,nutrient EC,Night,0.32,1.58,1.71,1.72,1.68,1.75,1.76,1.77
2025-07-22,GG6,GH06,outdoor daily light integral,Night,0,0,3.5,27.26,24.94,45.25,45.93,45.94
2025-07-22,GG6,GH06,outdoor daily light integral,Day,0.02,0.02,0.02,0.03,0.22,0.18,1.2,1.2
2025-07-22,GG6,GH06,temperature,Night,25.57,25.9,29.8,32.27,31.98,35.17,36.09,36.99
2025-07-22,GG6,GH06,temperature,Day,25.62,25.62,27.59,29.49,28.71,29.82,30.24,30.24
2025-07-22,GG6,GH06,vapor pressure deficit,Night,0.7,0.71,1.04,1.48,1.65,2.29,2.77,2.99
2025-07-22,GG6,GH06,vapor pressure deficit,Day,0.7,0.7,0.9,1.25,1.15,1.31,1.37,1.37
2025-07-22,GG6,GH06,vent required,Day,43.24,43.24,49.91,55.85,58.37,64.93,83.01,83.01
2025-07-22,GG6,GH06,vent required,Night,81.72,81.72,88,93.81,92.63,97.26,100,100
2025-07-22,GG6,GH07,CO2 sensor,Day,404,404.5,421,425,434.94,449,482,482
2025-07-22,GG6,GH07,CO2 sensor,Night,421,423,427.5,438,442.76,456,477,480
2025-07-22,GG6,GH07,cooling target,Night,24.67,24.67,24.67,26.3,25.78,26.37,26.37,26.37
2025-07-22,GG6,GH07,dehumidify target,Night,70,70,70,74.9,73.33,75.1,75.1,75.1
2025-07-22,GG6,GH07,growing degree units canola,Day,38,38,39.7,41.2,41.09,42.7,43.75,43.75
2025-07-22,GG6,GH07,growing degree units canola,Night,37.8,37.8,37.9,38.3,38.34,38.7,38.9,38.9
2025-07-22,GG6,GH07,growing degree units corn/soy,Night,23.95,23.95,28.9,29.2,28.99,29.6,29.9,29.9
2025-07-22,GG6,GH07,growing degree units corn/soy,Day,29,29,30.2,30.7,30.54,31.1,31.65,31.65
2025-07-22,GG6,GH07,growing degree units cotton,Day,19,19,20.7,22.2,22.08,23.7,24.75,24.75
2025-07-22,GG6,GH07,growing degree units cotton,Night,16.6,16.6,18.9,19.2,19.14,19.6,19.9,19.9
2025-07-22,GG6,GH07,growing degree units wheat,Day,47,47,47,47.6,47.57,48.1,48.1,48.1
2025-07-22,GG6,GH07,growing degree units wheat,Night,36.7,36.7,46.9,47.2,46.68,47.6,47.9,47.9
2025-07-22,GG6,GH07,heating target,Night,23,23,23,24.63,24.11,24.7,24.7,24.7
2025-07-22,GG6,GH07,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,GG6,GH07,indoor PAR light,Night,0,0,0,0,65.5,131,131,131
2025-07-22,GG6,GH07,indoor PAR light,Day,208,214,293,600,648.65,788,1214,1378
2025-07-22,GG6,GH07,indoor daily light integral,Day,0.16,0.61,4.96,13.2,11.94,17.88,21.72,22.82
2025-07-22,GG6,GH07,indoor daily light integral,Night,0,0,0,0,7.76,23.29,23.29,23.29
2025-07-22,GG6,GH07,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,GG6,GH07,light operation,Day,0,0,0,50,50,100,100,100
2025-07-22,GG6,GH07,nutrient EC,Day,1.29,1.3,1.33,1.34,1.35,1.37,1.42,1.42
2025-07-22,GG6,GH07,nutrient EC,Night,1.31,1.31,1.32,1.33,1.33,1.33,1.36,1.37
2025-07-22,GG6,GH07,outdoor daily light integral,Night,0,0,0.02,40.93,25.05,45.98,46,46.01
2025-07-22,GG6,GH07,outdoor daily light integral,Day,0.06,0.11,2.79,12.49,14.69,26.23,35.47,36.73
2025-07-22,GG6,GH07,vapor pressure deficit,Night,0.36,0.37,0.4,0.51,0.57,0.66,0.94,0.97
2025-07-22,GG6,GH07,vapor pressure deficit,Day,0.68,0.78,0.88,0.96,1,1.07,1.54,1.58
2025-07-22,GG6,GH08,CO2 sensor,Day,478,479,486,506,509.19,527,554.5,555
2025-07-22,GG6,GH08,CO2 sensor,Night,480,488,494.5,512,512.54,528,547,551
2025-07-22,GG6,GH08,cooling target,Night,24.67,24.67,24.67,24.67,25.48,26.3,26.3,26.3
2025-07-22,GG6,GH08,cooling target,Day,26.37,26.37,26.37,26.37,26.37,26.37,26.37,26.37
2025-07-22,GG6,GH08,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH08,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH08,growing degree units canola,Day,38.6,38.6,41.15,42.4,42.99,44.9,46.25,46.25
2025-07-22,GG6,GH08,growing degree units canola,Night,38.1,38.1,38.2,38.5,38.6,38.9,39.1,39.2
2025-07-22,GG6,GH08,growing degree units corn/soy,Day,29.6,29.6,29.6,31.1,31.1,31.8,31.9,31.9
2025-07-22,GG6,GH08,growing degree units corn/soy,Night,29.1,29.1,29.2,29.5,29.6,29.9,30.1,30.2
2025-07-22,GG6,GH08,growing degree units cotton,Day,19.6,19.6,21.9,22.85,23.37,25.4,26.2,26.2
2025-07-22,GG6,GH08,growing degree units cotton,Night,19.1,19.1,19.2,19.5,19.59,19.9,20.1,20.1
2025-07-22,GG6,GH08,growing degree units wheat,Night,47.1,47.1,47.2,47.5,47.6,47.9,48.1,48.2
2025-07-22,GG6,GH08,growing degree units wheat,Day,47.6,47.6,47.6,47.6,48,48.4,48.4,48.4
2025-07-22,GG6,GH08,heating required,Night,5.76,5.76,5.76,5.76,7.88,10,10,10
2025-07-22,GG6,GH08,heating required,Day,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
2025-07-22,GG6,GH08,heating target,Day,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
2025-07-22,GG6,GH08,heating target,Night,23,23,23,23,23.81,24.63,24.63,24.63
2025-07-22,GG6,GH08,humidity,Day,59.2,60.45,64.05,67.3,67.19,69.2,72,84.1
2025-07-22,GG6,GH08,humidity,Night,68.1,75.7,78.9,83.1,82.08,85.5,86.55,86.85
2025-07-22,GG6,GH08,humidity target,Night,40,40,40,40,40,40,40,40
2025-07-22,GG6,GH08,indoor PAR light,Day,176,177,272,575,589.81,721,1006,1324
2025-07-22,GG6,GH08,indoor PAR light,Night,0,0,0,0,49,98,98,98
2025-07-22,GG6,GH08,indoor daily light integral,Night,0,0,0,0,7.1,21.31,21.31,21.31
2025-07-22,GG6,GH08,indoor daily light integral,Day,0.16,0.58,4.6,11.95,10.91,16.31,19.3,21.04
2025-07-22,GG6,GH08,light operation,Day,0,0,0,50,50,100,100,100
2025-07-22,GG6,GH08,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,GG6,GH08,nutrient EC,Day,0.58,0.58,0.58,0.6,0.68,0.61,1.21,1.21
2025-07-22,GG6,GH08,nutrient EC,Night,0.59,0.59,0.61,1.19,0.93,1.19,1.21,1.21
2025-07-22,GG6,GH08,outdoor daily light integral,Night,0,0,0.02,40.87,25.01,45.91,45.93,45.93
2025-07-22,GG6,GH08,outdoor daily light integral,Day,0.06,0.11,2.8,12.53,14.69,26.22,35.42,36.68
2025-07-22,GG6,GH08,temperature,Day,26.72,28.77,32.39,32.94,32.62,33.51,34.67,35.13
2025-07-22,GG6,GH08,temperature,Night,25.52,25.57,26.37,28.96,28.28,29.66,30.06,32.71
2025-07-22,GG6,GH08,vapor pressure deficit,Day,0.98,1.18,1.48,1.64,1.66,1.89,2.19,2.35
2025-07-22,GG6,GH08,vapor pressure deficit,Night,0.43,0.44,0.55,0.62,0.69,0.86,1.03,1.58
2025-07-22,GG6,GH08,vent required,Night,86.36,86.36,88.19,92.19,93.02,97.22,99.44,99.96
2025-07-22,GG6,GH08,vent required,Day,89.9,89.9,89.9,89.9,94.94,99.98,99.98,99.98
2025-07-22,GG6,GH09,CO2 sensor,Night,427,428,437,446,447.6,457,473.5,478
2025-07-22,GG6,GH09,CO2 sensor,Day,438,439,442,463.5,463.04,478,491,493.5
2025-07-22,GG6,GH09,cooling target,Day,26.37,26.37,26.37,26.37,26.37,26.37,26.37,26.37
2025-07-22,GG6,GH09,cooling target,Night,24.67,24.67,24.67,24.67,25.48,26.3,26.3,26.3
2025-07-22,GG6,GH09,dehumidify target,Night,70,70,70,70,73.67,77.35,77.35,77.35
2025-07-22,GG6,GH09,dehumidify target,Day,77.65,77.65,77.65,77.65,77.65,77.65,77.65,77.65
2025-07-22,GG6,GH09,growing degree units canola,Night,37.5,37.5,37.6,37.8,37.96,38.3,38.5,38.5
2025-07-22,GG6,GH09,growing degree units canola,Day,37.7,37.7,39.2,39.9,40.42,41.55,42.85,43.65
2025-07-22,GG6,GH09,growing degree units corn/soy,Day,28.7,28.7,29.8,30.5,30.36,30.7,31.6,31.6
2025-07-22,GG6,GH09,growing degree units corn/soy,Night,28.5,28.5,28.6,28.8,28.95,29.3,29.5,29.5
2025-07-22,GG6,GH09,growing degree units cotton,Day,18.7,18.7,20.2,20.9,21.42,22.55,23.85,24.65
2025-07-22,GG6,GH09,growing degree units cotton,Night,18.5,18.5,18.6,18.8,18.93,19.3,19.5,19.5
2025-07-22,GG6,GH09,growing degree units wheat,Night,46.5,46.5,46.6,46.8,46.96,47.3,47.5,47.5
2025-07-22,GG6,GH09,growing degree units wheat,Day,46.7,46.7,47.3,47.8,47.6,48,48.2,48.2
2025-07-22,GG6,GH09,heating required,Day,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
2025-07-22,GG6,GH09,heating required,Night,0.3,0.3,0.3,5.96,5.42,10,10,10
2025-07-22,GG6,GH09,heating target,Night,23,23,23,23,23.81,24.63,24.63,24.63
2025-07-22,GG6,GH09,heating target,Day,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
2025-07-22,GG6,GH09,humidity,Night,74.7,77.1,80.8,84.4,83.63,86.6,87.8,88.2
2025-07-22,GG6,GH09,humidity,Day,65.3,67.6,73.6,75,74.91,76,78.2,84.2
2025-07-22,GG6,GH09,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,GG6,GH09,indoor PAR light,Night,0,0,0,0,36.25,72.5,72.5,72.5
2025-07-22,GG6,GH09,indoor PAR light,Day,203,208,361,678,699.37,887,1269,1504
2025-07-22,GG6,GH09,indoor daily light integral,Day,0.17,0.69,5.44,14.68,13.06,19.39,23.69,24.86
2025-07-22,GG6,GH09,indoor daily light integral,Night,0,0,0,0,8.44,25.32,25.32,25.32
2025-07-22,GG6,GH09,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,GG6,GH09,light operation,Day,0,0,0,50,50,100,100,100
2025-07-22,GG6,GH09,nutrient EC,Night,1.1,1.11,1.12,1.33,1.27,1.37,1.4,1.4
2025-07-22,GG6,GH09,nutrient EC,Day,0.65,0.69,1.13,1.31,1.44,1.85,2.27,2.45
2025-07-22,GG6,GH09,outdoor daily light integral,Day,0.03,0.06,2.15,11.25,14.31,24.82,34.14,36.7
2025-07-22,GG6,GH09,outdoor daily light integral,Night,0,0,0.02,41.73,25.48,45.96,45.98,45.98
2025-07-22,GG6,GH09,temperature,Night,25.29,25.29,25.99,28.08,27.66,29.2,29.77,30.91
2025-07-22,GG6,GH09,temperature,Day,26.11,27.29,29.04,30.77,30.33,31.09,32.14,33.16
2025-07-22,GG6,GH09,vapor pressure deficit,Day,0.51,0.72,0.94,1.09,1.1,1.18,1.38,1.76
2025-07-22,GG6,GH09,vapor pressure deficit,Night,0.41,0.42,0.45,0.54,0.61,0.8,0.96,1.11
2025-07-22,GG6,GH09,vent required,Night,83.74,83.74,85.56,88.24,89.59,93.96,96.82,96.82
2025-07-22,GG6,GH09,vent required,Day,79.52,79.52,83.33,87.78,87.72,91.16,95.95,95.95
2025-07-22,GG6,GH10,CO2 sensor,Day,489,489,490,492,492.38,493,499,499
