l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1505,temperature,Night,22.47,22.71,22.87,22.93,23.07,23.13,23.22,26.48
2025-07-22,CC1,CEA1505,temperature target,Day,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51
2025-07-22,CC1,CEA1505,temperature target,Night,23,23,23,23,24.24,25.49,25.49,25.49
2025-07-22,CC1,CEA1505,vapor pressure deficit,Day,1.34,1.75,1.85,1.88,1.86,1.9,1.92,2.17
2025-07-22,CC1,CEA1505,vapor pressure deficit,Night,1.06,1.11,1.16,1.18,1.19,1.2,1.22,1.69
2025-07-22,CC1,CEA1505,vent required,Day,16.65,30.95,31.7,33.85,33.93,36.5,36.9,47.97
2025-07-22,CC1,CEA1505,vent required,Night,27.15,27.3,29,32.95,32.34,34.6,43.55,45.5
2025-07-22,CC1,CEA1506,CO2 sensor,Night,460.5,489,497,514.5,518.88,544,563,567
2025-07-22,CC1,CEA1506,CO2 sensor,Day,451,451,454,475,483.44,506,528,555
2025-07-22,CC1,CEA1506,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1506,heating required,Day,11.8,11.8,11.8,25.5,42.35,54.8,77.32,77.32
2025-07-22,CC1,CEA1506,humidity,Day,49.65,50.3,54.1,55.1,54.72,55.8,56.4,56.8
2025-07-22,CC1,CEA1506,humidity,Night,54.7,55.1,55.6,56.9,57.31,58.2,63.1,65.5
2025-07-22,CC1,CEA1506,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1506,indoor PAR light,Night,48,48,48.5,48.5,61.82,49,274.5,274.5
2025-07-22,CC1,CEA1506,indoor PAR light,Day,649,649,650,650,650.26,651,652,653
2025-07-22,CC1,CEA1506,indoor daily light integral,Day,1.32,1.9,6.58,12.43,12.72,18.28,22.96,24.13
2025-07-22,CC1,CEA1506,indoor daily light integral,Night,0.02,0.11,0.63,24.64,14.59,25.25,25.74,25.82
